key_1,AC No,PS No,Point,Longitude,Latitide,key
1_1 ,1,1,1 - Pashchim Simna Tahashil Office,91.39353642,24.09186103,1_1 
1_10 ,1,10,10 - Chandichara S.B. School,91.43368029,24.05747006,1_10 
1_11 ,1,11,11 - Sharat Chaudhuri Para S.B.School,91.42398764,24.07342712,1_11 
1_12 ,1,12,12 - Katalamara High School(Purbangsha),91.39572608,24.07102524,1_12 
1_13 ,1,13,13 - Katalamara High School(West Wing),91.39546479,24.0713212,1_13 
1_14 ,1,14,14 - Bairagipara J. B. School(Uttarangsha),91.404267,24.0632361,1_14 
1_15 ,1,15,15 - Bairagipara J. B. School(Dakshinangsha),91.40423531,24.06331813,1_15 
1_16 ,1,16,16 - Ishanpur Dwadash Shreni Vidyalaya(Pashchimangsha),91.40627203,24.0558365,1_16 
1_17 ,1,17,17 - Ishanpur Dwadash Shreni Vidyalaya(Purbangsha),91.4064088,24.05538726,1_17 
1_18 ,1,18,18 - Sonaram ADC Village Office,91.42383786,24.05028939,1_18 
1_19 ,1,19,19 - 22-Card J.B School,91.40248478,24.0494339,1_19 
1_2 ,1,2,2 - Simna High School,91.41564892,24.03191465,1_2 
1_20 ,1,20,20 - Ishanpur Samaj Shikshakendra,91.40244516,24.04942167,1_20 
1_21 ,1,21,21 - Narendrapur T.E.S. B.School(Pashchimangsha),91.40493325,24.02602914,1_21 
1_22 ,1,22,22 - Narendrapur T.E.S. B.School(Purbangsha),91.40486852,24.02604516,1_22 
1_23 ,1,23,23 - Manatala High School,91.42629563,24.01118501,1_23 
1_24 ,1,24,24 - Sachiyabari J.B.School,91.43744348,24.01597936,1_24 
1_25 ,1,25,25 - Subalasingpara S.B.School,91.44925052,24.09376457,1_25 
1_27 ,1,27,27 - Shankhala S.B. School(Dakshinangsha),91.4292184,24.04916917,1_27 
1_29 ,1,29,29 - Shankhala S.B.School(Uttarangsha),91.42920701,24.04913162,1_29 
1_3 ,1,3,3 - Brahmakunda GP Office,91.4183725,23.94179671,1_3 
1_30 ,1,30,30 - Bar Pukur S.B.School,91.45270239,24.00691956,1_30 
1_31 ,1,31,31 - Surendranagar H.S.School(Purbangsha),91.43418939,23.99978497,1_31 
1_32 ,1,32,32 - Surendranagar H. S.School(Pashchimangsha),91.43426445,23.9997799,1_32 
1_33 ,1,33,33 - Surendranagar  ADC Village Office,91.42925678,23.9940667,1_33 
1_34 ,1,34,34 - Kambukachhara S.B.School,91.45329432,23.99068762,1_34 
1_35 ,1,35,35 - Dumarakaridak ADC Village Office,91.46522526,23.96336391,1_35 
1_36 ,1,36,36 - Radhanagar High School,91.4595062,23.9604985,1_36 
1_37 ,1,37,37 - Ramdayal S.B. School,91.4439657,23.9582436,1_37 
1_38 ,1,38,38 - Tamakari High School,91.4386311,23.9474672,1_38 
1_39 ,1,39,39 - Dugarai Mayavati S.B.School,91.427868,23.9500743,1_39 
1_4 ,1,4,4 - Brahmakunda Guest House,91.39475326,24.07945704,1_4 
1_40 ,1,40,40 - Barakanthal H.S.School(Purbangsha),91.41814191,23.94181092,1_40 
1_41 ,1,41,41 - Barakanthal H.S.School(Pashchimangsha),91.4183725,23.94179671,1_41 
1_42 ,1,42,42 - Kainta Kobra Para S. B. School,91.42619345,23.90692431,1_42 
1_43 ,1,43,43 - Joychandra Para J. B. School,91.43891539,23.90547429,1_43 
1_44 ,1,44,44 - Chakma Para S.B. School,91.44122793,23.92309569,1_44 
1_45 ,1,45,45 - Kutanabari S.B.School,91.44406856,23.9318077,1_45 
1_46 ,1,46,46 - Chandpur H.S. School(Uttarangsha),91.459633,23.9305478,1_46 
1_47 ,1,47,47 - Chandpur H.S. School(Dakshinangsha),91.459547,23.9307334,1_47 
1_48 ,1,48,48 - Subal Gar S.B.School,91.46670584,23.93250972,1_48 
1_49 ,1,49,49 - Sonai J. B. School,91.47588612,23.92831826,1_49 
1_5 ,1,5,5 - Katachara S.B.School,91.41752494,24.08882303,1_5 
1_50 ,1,50,50 - Gaj Para S.B.School,91.40486852,24.02604516,1_50 
1_6 ,1,6,6 - Simna chara S.B.School,91.41070428,24.10098175,1_6 
1_7 ,1,7,7 - East Simna ADC Village Office,91.44851444,24.08296911,1_7 
1_9 ,1,9,9 - Matiyapara S.B. School,91.43900124,24.06858809,1_9 
10_1 ,10,1,1 - Ranir Bazar Bidyamandir H.S. School( Madhyangsha),91.36440174,23.83758478,10_1 
10_10 ,10,10,10 - Apanjan I.C.D.S.Centre,91.37361563,23.83071021,10_10 
10_11 ,10,11,11 - SHG Training Centre;Ranirbazar Municipal Council;Ranirbazar,91.36558022,23.83364272,10_11 
10_12 ,10,12,12 - Sukanta Colony J.B. School (E/W) ;Ranirbazar,91.36543212,23.83376582,10_12 
10_13 ,10,13,13 - Sukanta Colony J.B. School (W/W) ;Ranirbazar,91.36542805,23.8338217,10_13 
10_14 ,10,14,14 - Purba Assam Para I.C.D.S.Kendra,91.37162337,23.82202065,10_14 
10_15 ,10,15,15 - Sukanta Academy English Medium H.S. School(Pashchimangsha),91.37467297,23.82634775,10_15 
10_16 ,10,16,16 - Sukanta Academy English Medium H.S. School(Dakshin Pashchimangsha),91.37467297,23.82634775,10_16 
10_17 ,10,17,17 - Sukanta Academy English Medium H.S. School(Purba Pashchimangsha),91.37490924,23.82652347,10_17 
10_18 ,10,18,18 - Majlishpur Tahashil Office,91.39491169,23.82000072,10_18 
10_19 ,10,19,19 - Majlishpur Gram Panchayet Office,91.39513855,23.82014255,10_19 
10_2 ,10,2,2 - Ranir Bazar Bidyamandir H.S. School (Uttarangsha),91.36464775,23.83750599,10_2 
10_20 ,10,20,20 - Bhagaban Kobra Para S.B. School,91.40635624,23.83549877,10_20 
10_21 ,10,21,21 - Makumai Kami High School(Uttarangsha),91.40291136,23.82630432,10_21 
10_22 ,10,22,22 - Makumai Kami High School (Dakshin Madhyangsha),91.40291136,23.82630432,10_22 
10_23 ,10,23,23 - Makumai Kami High School (Purba Madhyaangsh),91.40291136,23.82630432,10_23 
10_24 ,10,24,24 - Ranirgaon H.S.School(Uttarangsha),91.39581241,23.82028224,10_24 
10_25 ,10,25,25 - Ranirgaon H.S.School; Mohanpur (Pashchimangsha),91.39581241,23.82028224,10_25 
10_26 ,10,26,26 - Ranirgaon H.S.School; Mohanpur ( Dakshinangsha),91.39581241,23.82028224,10_26 
10_27 ,10,27,27 - Gurukul I.C.D.S.Centre,91.39691338,23.82010693,10_27 
10_29 ,10,29,29 - T.E.College High School(Pashchimangsha),91.42668131,23.84569273,10_29 
10_3 ,10,3,3 - Ranir Bazar Bidyamandir H.S. School(Dakshinangsha),91.36458322,23.83756441,10_3 
10_30 ,10,30,30 - T.E.College High School(Purbangsha),91.42668131,23.84569273,10_30 
10_31 ,10,31,31 - Pashchim Barjalai S.B.School (Uttarangsha),91.42654214,23.83519127,10_31 
10_32 ,10,32,32 - Pashchim Barjalai S.B.School (Dakshinangsha),91.42654214,23.83519127,10_32 
10_33 ,10,33,33 - Barjala Binapani H.S. School (Dakshinangsha),91.42580965,23.82605969,10_33 
10_34 ,10,34,34 - Barjala Binapani H.S. School (Pashchimangsha),91.42573657,23.82601201,10_34 
10_35 ,10,35,35 - Bankimnagar S.B. School(Pashchimangsha),91.43710156,23.82827393,10_35 
10_36 ,10,36,36 - Bankimnagar S.B. School(Madhyangsha),91.43719161,23.82811508,10_36 
10_37 ,10,37,37 - Bankimnagar S.B. School(Purbangsha),91.43720102,23.82821464,10_37 
10_38 ,10,38,38 - Jirania Nagar Panchayet Office(Purbangsha),91.43791977,23.82508658,10_38 
10_39 ,10,39,39 - Jirania Nagar Panchayet Office(Pashchimangsha),91.43763582,23.824971,10_39 
10_4 ,10,4,4 - Durganagar J.B.School(Sarbashiksha Abhijan),91.3709943,23.83741516,10_4 
10_40 ,10,40,40 - Kalachand Kobra Para I.C.D.S. Kendra,91.4311455,23.82082301,10_40 
10_41 ,10,41,41 - Chaudhuri Bari Girls H. S. School(Pashchimangsha),91.43836172,23.8199372,10_41 
10_42 ,10,42,42 - Chaudhuri Bari Girls H. S. School(Purbangsha),91.43801715,23.81995992,10_42 
10_43 ,10,43,43 - Birendranagar H.S.School (Pashchimangsha),91.44170943,23.8197725,10_43 
